Ground Truth,Prediction
esci da rubrica,
muto,nota
otto,apai
apri rubrica 3, अप्रच्छ़ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्
raggiungi,apri
seleziona,
due,duevac
sotto,tappa
zero,sero
chiudi rubrica,aggi rubrica 2
chiudi applicazione,
stop,tap
scendi,aggi
salva,bawla
apri rubrica 2,apri rubrica 2
sali, PAUSE
tre, uh
cancella contatto,cancella contattovii
top,tap
sezione,si caudi
muovi,muovi
attiva vivavoce,apriya lukti
muto,muto
chiama,tattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattatt
aggiungi,aggiungi
otto,ata
vai alla tastiera,vairochiya
chiudi,tapu
sette,tapap
sopra,sopra
nuovo contatto,inivada contatto
raggiungi, lalto inji
deseleziona,deselezhna
termina chiamata,terminate
richiama,ali
fai una telefonata,vairo chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna chesna ch
mali,mali
scorri verso il basso,scorri verso l alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto alto
apri rubrica 3,apri rubrica 2
scesi,
nave,mali
quattro,अच्द्द
uno,quattro
vivavoce,mila chiti
sei,sauce
scorri verso l alto,ali destra uttastattva
cinque,si
no,na
aggiungi ai preferiti,aggiungi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi viv
vai nella rubrica,vai vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas vivas
apri,अप्ल्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्
terminare,tastinali
zelo,vada
cancella,cancella
indietro,aggi
apri rubrica 1,apri rubrica 2
nove,novec
bue, ಎ
tra,
vai nei preferiti,vaii chesaii
chiamata,quattro
cella,talla
preferiti,
rubrica,rubrica
chiama emergenza, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
rimuovi,limovi
tastiera,च्याःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
esci da rubrica,
cancella tutto,cancella
vai alla pagina principale,vairo pagina principale
disattiva vivavoce, lesevi laguchi
chiama ultimo numero, च्याईःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
si,
vai nel registro chiamate,vai nelai jitastri mali
stop,अच्छ
due,due to the fire
quattro,
vai nel registro chiamate,bawla bapriya bapriya bapriya bapriya bapriya bapriya bapriya bapriya bapriya bapriya bapriya bapriya bapriya bapriya bapriya bapriya bapriya bapriya bapriya bapriya bapriya bapriya bapriya bapriya bapriya bapriya bapriya bapriya bapriya bapriya b
cancella,aggi
zero, more
deseleziona,due to the video description.
vai alla tastiera, more
apri rubrica 3,
preferiti, ಎಎ
cinque, more
vai alla pagina principale,bawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla bbawla b
vivavoce,
tre, uh
nuovo contatto, ಎದ
scorri verso il basso,sori desu
top,tap 2
sali,
scesi, okra
scorri verso l alto,
attiva vivavoce,apriya vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva viv
apri rubrica 2,
chiama ultimo numero,tapu
terminare,apriya
termina chiamata, ಎದ
tastiera, uh
otto, ಎದ
rubrica,
rimuovi, more
muto,
chiamata,quattro
mali, ಎದ
cella, okra
chiudi rubrica, ಎವ
indietro, ಎದ
disattiva vivavoce, more
cancella contatto,ankhoto
cancella tutto,ankhata
muovi,mali
uno, ಎದ
sei,
salva, PAUSE
nave,lap
vai nei preferiti, POP!
zelo,
apri rubrica 1,apriya
raggiungi,ali
scendi, Hålla!
apri,
sotto,
sezione, ಎದ
no,
chiudi applicazione, ಎದ
bue,
tra, more
nove, lalai lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali lali l
richiama, ಎವ
sopra,
vai nella rubrica,wala vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi
sette, ಎದ
chiama emergenza,
esci da rubrica,
si,
aggiungi ai preferiti,aprile
chiama,
aggiungi,apriya
chiudi, more
fai una telefonata,
seleziona,ohhh
sei,alri
vai nei preferiti,mali
nuovo contatto,s
scorri verso l alto,scorri verso l alto chiamatechiati alla tastiera principale chiamatechiati alla tastiera principale chiamatechiati alla tastiera principale chiamatechiati alla tastiera principale chiamatechiati alla tastiera principale chiamatechiati alla tastiera principale chiamatechiati alla tastiera principale chiamatechiati alla tastiera principale chiamatechiati alla tastiera principale chiamatechiati alla tastiera principale chiamatechiati alla tastiera principale chiamatechiati alla tastiera
cella,due to the video.
deseleziona,deseleziona
scendi,aggi
aggiungi,apri
sali,sali
seleziona,s
termina chiamata, PALLA
uno, ok
apri rubrica 3,apriya
stop,अप्
disattiva vivavoce, ಎದ
vai nel registro chiamate,sali
zero,s
chiama ultimo numero,sali
richiama, ಎವ
attiva vivavoce,apriya
chiudi, more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more
raggiungi,apriya
chiudi rubrica,
chiama,
mali,novella.
scesi, ok
bue, more on
tra,
scorri verso il basso,sori desi
sezione,uklai
vai nella rubrica,due to the video description.
otto,attapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattap
apri rubrica 2,apri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri
muto, ಎದ
sopra,sopraptor
zelo, more
chiamata,quattro
rubrica,sriva
rimuovi,
sette,apriya
apri,
chiudi applicazione,
vai alla tastiera,quattro
due,duevac
indietro,
esci da rubrica,
cinque,si
apri rubrica 1,apri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri
top,apriya
terminare,ohhh
chiama emergenza,apriya
fai una telefonata,taiya chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra chitra ch
no,lap
vai alla pagina principale,
tastiera, uh
aggiungi ai preferiti,apriya
tre, uh
cancella tutto,ankala
nave,mali
preferiti,ohhohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohohoho
vivavoce, yairochi
quattro,apriya
sotto,tap
si, okra
muovi, more
cancella,ankalip
cancella contatto,ankalip
salva, PAULA
nove,lalai
sei,
scorri verso il basso, goriya china chana
cinque,cinque
sopra,sopra
chiudi rubrica, yudi rubrica 2.0
sette,sitta
aggiungi,anyong
vai alla tastiera,mairochi
sali, Pali
scorri verso l alto,saliya salata
terminare,च्द्द्ददददद
uno,quattro
sezione,tastiera
stop,top
zero, nero
no, yap
deseleziona,meselechiya
apri rubrica 2,apri rubrica 2
richiama,tatt
mali,natt
nuovo contatto, you are welcome to
disattiva vivavoce,disattiva vivavoce
sotto,sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rub
bue,bueh
tra, uh
apri rubrica 3,apriya rubrica 2
chiama emergenza,
muovi,mali
preferiti,
cancella contatto,cancella more detail
attiva vivavoce,attiva vivavocha
muto,uda
si,
otto,attapiti
salva, PAPA
vai alla pagina principale,maliapati vivi salai
chiamata,
cella,tela
zelo, nero
apri,aggi
scendi,endi
chiudi applicazione, through the application.
due,due
indietro,iniya
vai nei preferiti,mali vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi
quattro,quattro
top,top
seleziona,
esci da rubrica,
tastiera,siya
nave, ಎದ
tre,
vivavoce, yohsi
fai una telefonata,च्यदब्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्�
rubrica,
rimuovi,tasti nali
chiama,tattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattatt
aggiungi ai preferiti,aggi viviti
apri rubrica 1,apri rubrica 2
termina chiamata, अच्द्द्दःःद
scesi,scesi
chiudi, yuri
vai nella rubrica,vairoviya
cancella,cancella
nove,yali
raggiungi,aggiungi
chiama ultimo numero, च्याएच्छ़वःद
vai nel registro chiamate, whenever you feel like it
cancella tutto,cancella tov
tra,WAP
muto,nodal
chiudi rubrica, you did it
bue,bueh
otto,ata
sopra,sopra
sette,प्रट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्
tastiera,
scorri verso l alto,aliya tranthi
seleziona,tasturna
esci da rubrica, अच्दरब्रिएच्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्�
vai nei preferiti,vaiṃapitiṃ
termina chiamata,tastu
indietro,india
apri rubrica 2,apriya rubrica 2
mali, right
chiama,
si,
chiudi, yudi
chiamata,
disattiva vivavoce,
uno, ಎದ
nuovo contatto, you are welcome
cancella,cancella
zero,zero
sotto,top
vai nella rubrica,lapriya
stop,top it up
sei,
no, N
scorri verso il basso,saliya teri mahi
scendi,
sali,Ayyy
muovi,mali
apri rubrica 3,apri rubrica 2
sezione, तच्यवःट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्
raggiungi,tajungi
salva,अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
vivavoce,ali
richiama, ಎ
cella, च्यःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
nove, Yali
chiama emergenza, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
rimuovi,tasti
terminare,tasti
rubrica,rubrica
chiudi applicazione, yudiaskriyaan
vai alla tastiera,mairochi
aggiungi,aggiungi
deseleziona,
aggiungi ai preferiti,aggi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi viv
fai una telefonata,
nave, ಎ
vai alla pagina principale, more in detail
cancella contatto,cancella contatto
quattro,quattro
due,due
vai nel registro chiamate,vaiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃapitiṃ
apri rubrica 1,apri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri
scesi,siidi
tre, uh
cinque,tingra
chiama ultimo numero, चाह्ःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
cancella tutto,cancella tutto
apri,aggi
attiva vivavoce,apriya-bhagata
preferiti,tastri
top,top 2
zelo,telo
tastiera, अच्याःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
scorri verso il basso,maliya senata
top,top 2
cella, तेल्ःःअःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
chiudi applicazione, तुऎएप्टिएश्ङाःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
chiama ultimo numero, च्याःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
tre,
muto,noada
apri rubrica 1,apri rubrica 2.0
otto,ata
vai nella rubrica,vaiṃ rubrica 1 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2
indietro,indietra
preferiti,
mali,tai
cinque,cinque
vai nel registro chiamate,vaiṃ yada jitiṃ yada
vai alla pagina principale,vaiya lavai jina vivi vale
chiamata,tata
due,due
attiva vivavoce,attiva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivas
cancella tutto,cancella tutto!
stop,top it
terminare,tata
scesi,sali
zero, nero
chiama emergenza, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
sezione,sikayoana
vai nei preferiti, my name is Rini
cancella,ansi
disattiva vivavoce,mixattiva vivavoche
vivavoce,ali
sali,tai
nuovo contatto, youvaii tv
richiama, ಎದ
nove,novecchi
scorri verso l alto, more in the plato
no,nyop
sette,प्र्च्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट
sopra,top 2
apri rubrica 3,apriya rubrica 2
aggiungi,aggiungi
raggiungi,rajuñi
scendi,sendi
sei,si
uno,bola
rubrica,rubrica
rimuovi,i love it
cancella contatto,cancella contattovattuvi
si,
chiudi rubrica, you get really good
sotto,tappa
aggiungi ai preferiti,aggiungi viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viv
vai alla tastiera, right under the ceiling
nave, nama
quattro,quattro
fai una telefonata, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
zelo,delovi
termina chiamata, अद्द्दिःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
salva, ಎದ
apri,ali
esci da rubrica,
chiudi, yudi
deseleziona,deseleziona!
tra,tap
bue,bueh
chiama,tatt
muovi,mali
apri rubrica 2,apri rubrica 2
seleziona,forsk
nave, ಎದ
cella,tela
raggiungi,aggiungi
cancella,cancella
vai alla tastiera,lairochina
aggiungi ai preferiti,aggiungi viviti
vai nel registro chiamate, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
zelo, nero
rubrica,tobviya
rimuovi,tastu
vivavoce, yamushra
apri,aggi
due,due
tastiera,
scorri verso l alto, क्रिदेश्ःःःःःःःःःःःःःःःःःःःःःःःःःः
fai una telefonata, ಎದ
nove,novecchi
seleziona, अच्चालःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
apri rubrica 1,apriya
termina chiamata, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
scesi,
attiva vivavoce,asiva vivasita
quattro,quattro
indietro,india is a part of the video
cancella tutto,cancella tutto
tre, uh
top,top 2
cinque,siiva
chiamata,
cancella contatto,cancella contatto
sopra,sopra
sette,
esci da rubrica,
tra, ok
bue,bueh
stop,top 2
preferiti,deselects
vai nei preferiti,lain-as-a-si
chiudi rubrica, yudi rubrica 2
zero,zero
chiama,tatt
sali,tatt
apri rubrica 2,apriya
chiudi,kiwadi
deseleziona,deselezhwana
no,nyong
chiudi applicazione, तद्ददददददददददददददददददददददददददददददददददददददददददददददददददददददददददद�
disattiva vivavoce,disattiva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva viv
richiama,aggi
otto,ata
uno, okra
muto,uda
sotto,top 2
sei,
nuovo contatto,november 2
sezione,tettion
vai nella rubrica, my little baby
muovi,mali
aggiungi,aggiungi ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai preferiti ai
chiama ultimo numero, चालवट्द्द्दद
si,
vai alla pagina principale, more detail
chiama emergenza,tapnavai
apri rubrica 3,apri rubrica 2
terminare,innavi
salva,tapak
mali,natt
scendi,endi
scorri verso il basso,scorri verso il basso.saliattiva vivavocevamovi vivavocevamovi vivavocevamovi vivavocevamovi vivavocevamovi vivavocevamovi vivavocevamovi vivavocevamovi vivavocevamovi vivavocevamovi vivavocevamovi vivavocevamovi vivavocevamovi vivavocevamovi vivavocevamovi vivavocevamovi vivavocevamovi vivavocevamovi vivavocev
apri rubrica 3,apri rubrica 2
preferiti,sali
nave,LALA
richiama, ಎ
chiama ultimo numero, च्याःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
scorri verso il basso,chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata ch
aggiungi,anyone
cancella contatto,cancella more
scendi,endi
attiva vivavoce,apriya-bhushna
sei,
nuovo contatto, you are the best
scesi,
uno, more
quattro,च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्�
apri,apri
zelo, nero
vai alla tastiera,lapasita
fai una telefonata, ಎಎ
nove,novecchi
scorri verso l alto,scorri verso l alto
apri rubrica 2,apriya rubrica 2
rubrica,tobviya
rimuovi,tastu
terminare,tastu
cella,tata
chiudi rubrica, judi rubrica 2.0
bue,bueh
tra,
chiudi, yudi
chiama emergenza, तःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
chiama,
si,
muovi,mali
raggiungi,rajoendi
tastiera, अच्या
top,top 2
sezione,sechiwana
tre,
salva,Ava
zero, nero
vai nel registro chiamate,vairodi svajamati
cancella tutto,cancella tutto!
stop,apri
indietro,si lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai lalai
sali,tai
cinque,cinque
deseleziona,deselezhiyo n
chiamata, ಎದ
sotto,ata
vai nella rubrica,vairopreeta
apri rubrica 1,apri rubrica 2
due,quattro
muto,uda
disattiva vivavoce,ali ka teri avasi
termina chiamata, ಎದ
otto,ata
aggiungi ai preferiti,aggiungi viviti
vai nei preferiti,ln.
no,Nyap
chiudi applicazione, तोःएप्टिःट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्�
cancella, more
seleziona,seleziona rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rub
sette,च्द्द्द
sopra,sopra
mali, NIGHT
vai alla pagina principale, right above the bridge of the bridge
vivavoce,viya avasiya
esci da rubrica,
disattiva vivavoce,disattiva vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati viv
mali,baii
chiudi rubrica, yudi rubrica 2.0
vai alla pagina principale,lairochi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi
chiudi, yawati
due,due
chiama,च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्�
cancella contatto,cancella contattovattu
termina chiamata, अच्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च
aggiungi ai preferiti,aggi viviti
attiva vivavoce,apriya laksa
vai nel registro chiamate,vairodiya mahi
top,top it up
rimuovi,rimuovi
rubrica,tastu
terminare,
otto,attapiti
sette,
muto,no da
sopra,sopra
chiudi applicazione, yoyotecevane
tre, uh
apri rubrica 2,apri rubrica 2
salva,tapit
scendi,
preferiti,
nuovo contatto, you are the best
chiama ultimo numero, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
muovi,mali
aggiungi,aggiungi
sali,tap
sotto,tappa
apri rubrica 3,apri rubrica 2
zero, nero
stop,top 2
deseleziona, more
richiama,च्दाल्व
quattro,quattro
vai alla tastiera,mali basita
vivavoce,
fai una telefonata,salipluvi
vai nella rubrica,mali rubrica 2
sei,
seleziona,selezina.
si,
uno, ಎದ
